id,source,weekNumber,english,exampleSentence,wordCount
w28-speak-05,speak,28,sequence,The sequence felt stronger once the extra landscape shots were removed.,11
w30-speak-03,speak,30,one lane,A novel gave her mind one lane instead of constant branching.,11
w30-speak-04,speak,30,repeated completion,Repeated completion mattered more than one ambitious weekend of reading.,10
w31-listen-02,listen,31,emotional clarity,People respond to the emotional clarity they often see in animals.,11
w31-listen-05,listen,31,animal welfare,Good policy starts by asking real questions about animal welfare.,10
w31-speak-04,speak,31,read behavior,Good owners learn to read behavior instead of guessing blindly.,10
w32-listen-01,listen,32,hands-on hobby,Her hands-on hobby gave the evenings a different texture from work.,11
w32-listen-05,listen,32,niche interest,His niche interest in fountain pens led to several real friendships.,11
w32-speak-01,speak,32,passion project,The small band remained a passion project long after college.,10
w33-listen-02,listen,33,green time,A little green time changed her whole mood after work.,10
w33-listen-05,listen,33,nature deprivation,Some educators worry about a growing kind of nature deprivation.,10
w33-speak-01,speak,33,seasonal awareness,Her seasonal awareness grew after she started walking outside every evening.,11
w34-listen-02,listen,34,intrinsic reason,Her intrinsic reason had more staying power than external pressure.,10
w34-listen-06,listen,34,recovery window,He learned to respect the recovery window instead of ignoring it.,11
w34-speak-02,speak,34,body feedback,She only noticed the body feedback after sitting too long.,10
w36-listen-05,listen,36,creative friction,Too little creative friction can make the result feel hollow.,10
w36-speak-03,speak,36,confident error,"The problem was not just the error, but the confident error.",11
w37-listen-06,listen,37,support network,Her support network became more visible after she asked for help.,11
w37-speak-02,speak,37,baseline energy,Her baseline energy had dropped for days before she admitted it.,11
w38-listen-01,listen,38,daily footprint,Her daily footprint became easier to see after the move.,10
w38-listen-04,listen,38,hidden waste,The hidden waste bothered her more than the product itself.,10
w38-listen-06,listen,38,livable city,They wanted the neighborhood to become a more livable city space.,11
w38-speak-02,speak,38,resource use,They started paying more attention to resource use at home.,10
w39-listen-06,listen,39,image management,The spending had more to do with image management than joy.,11
w39-speak-02,speak,39,cash flow,Her cash flow looked different once she tracked it honestly.,10
w39-speak-05,speak,39,income gap,The income gap was shaping more feelings than either admitted.,10
w40-listen-04,listen,40,midlife restart,Her midlife restart felt terrifying and alive at the same time.,11
w43-speak-03,speak,43,quiet change,Quiet change often goes unnoticed until it suddenly feels undeniable.,10
w43-speak-04,speak,43,survival learning,Survival learning left deep marks that took years to fully understand.,11
w44-speak-05,speak,44,friction point,The friction point was obvious once they watched people use it.,11
w45-listen-02,listen,45,earn buy-in,She had to earn buy-in before the plan could move.,10
w45-listen-03,listen,45,emotional weather,She noticed the emotional weather shift before the meeting stalled.,10
w45-speak-01,speak,45,visible label,She led well long before she had a visible label.,10
w45-speak-03,speak,45,informal influence,His informal influence was stronger than his job title suggested.,10
w45-speak-04,speak,45,name tension,A good manager can name tension without making people defensive.,10
w47-listen-01,listen,47,felt normal,What felt normal to her was surprising to someone else.,10
w47-listen-02,listen,47,overlapping norms,Overlapping norms made the team harder to read at first.,10
w47-listen-04,listen,47,travel as relationship,Travel as relationship changed how she moved through the city.,10
w47-listen-06,listen,47,carry meaning,"A good translator knows how to carry meaning, not only words.",11
w48-listen-06,listen,48,slow thought space,Writing gave her the slow thought space she needed.,9
w48-speak-04,speak,48,multiple homes,He was learning how to live with multiple homes inside him.,11
w51-listen-01,listen,51,respectable answer,He had been living inside a respectable answer for years.,10
w51-listen-05,listen,51,recover and reorganize,She learned how to recover and reorganize after the setback.,10
w51-speak-01,speak,51,prepare the ground,She had to prepare the ground before starting anything big.,10
w52-speak-01,speak,52,carry it forward,He wanted to carry it forward in a wiser form.,10
w52-speak-02,speak,52,emotional architecture,Her year was shaped by emotional architecture more than events.,10
w53-listen-03,listen,53,design around reality,The plan started working once she learned to design around reality.,11
w53-listen-04,listen,53,close the chapter well,She wanted to close the chapter well instead of disappearing quietly.,11
w53-listen-06,listen,53,old script,The old script kept asking him to stay small and predictable.,11
w53-speak-01,speak,53,weekly anchor,His weekly anchor was one quiet planning hour every Sunday evening.,11
w53-speak-04,speak,53,release with respect,He learned to release with respect instead of burning everything down.,11
w53-speak-05,speak,53,realistic pace,They chose a realistic pace instead of an impressive one.,10
